Title,Genre,Description,Text_cleaning,Predicted_Genre
1, Edgar's Lunch (1998) ," L.R. Brane loves his life - his car, his apartment, his job, but especially his girlfriend, Vespa. One day while showering, Vespa runs out of shampoo. L.R. runs across the street to a convenience store to buy some more, a quick trip of no more than a few minutes. When he returns, Vespa is gone and every trace of her existence has been wiped out. L.R.'s life becomes a tortured existence as one strange event after another occurs to confirm in his mind that a conspiracy is working against his finding Vespa.",brane loves life car apartment job especially girlfriend vespa one day showering vespa runs shampoo runs across street convenience store buy quick trip minutes returns vespa gone every trace existence wiped life becomes tortured existence one strange event another occurs confirm mind conspiracy working finding vespa, drama 
2, La guerra de papá (1977) ," Spain, March 1964: Quico is a very naughty child of three belonging to a wealthy middle-class family. Since Cristina's birth, he feels he has lost the privileged position of ""prince"" of the house for his eight months old sister. So, with his brother Juan, who is eight years old and is quite disobedient, spend their time committing prank after prank, causing the resulting anger of his mother, the nanny and the old housemaid. The rest of the family members are two much older brothers, his resigned mother and a retrograde father of authoritarian ideas. But many years have passed, and the civil war that won the despot Don Pablo is simply for their children ""Dad's war"".",spain march quico naughty child three belonging wealthy middle class family since cristinas birth feels lost privileged position prince house eight months old sister brother juan eight years old quite disobedient spend time committing prank prank causing resulting anger mother nanny old housemaid rest family members two much older brothers resigned mother retrograde father authoritarian ideas many years passed civil war despot pablo simply children dads war, drama 
3, Off the Beaten Track (2010) ," One year in the life of Albin and his family of shepherds in the North of Transylvania. In direct cinema style, this documentary follows their day to day routines, and their struggle to adapt to a new world where traditions are gradually replaced by modern values. Since joining the EU, Romania has been facing, like several other Eastern European countries, the pressure of modern values, introducing in farmer's lives the cruel notion of competition, the temptation of migrating to the higher salaries abroad, and the marginalization of locally produced food against industrial products.",one year life albin family shepherds north transylvania direct cinema style documentary follows day day routines struggle adapt new world traditions gradually replaced modern values since joining romania facing like several eastern european countries pressure modern values introducing farmers lives cruel notion competition temptation migrating higher salaries abroad marginalization locally produced food industrial products, drama 
4, Meu Amigo Hindu (2015) ," His father has died, he hasn't spoken with his brother for about 10 years and has a serious cancer. Diego is a talented film director with difficulty to deal with his sickness, which is making him lose his friends and family. His best friend and doctor Ricardo gives him the news that he needs a bone marrow transplantation, otherwise he'll die. He gets married to a beautiful woman, Livia, just before going to Seattle to get treatment. There, he undergoes numerous medical procedures. During treatment, he meets an Hindu boy, with whom he plays and whom he tells amazing stories. Odds are against him and when stakes are the highest, Diego gets a visit from a very uncommon man.",father died hasnt spoken brother years serious cancer diego talented film director difficulty deal sickness making lose friends family best friend doctor ricardo gives news needs bone marrow transplantation otherwise hell die gets married beautiful woman livia going seattle get treatment undergoes numerous medical procedures treatment meets hindu boy plays tells amazing stories odds stakes highest diego gets visit uncommon man, drama 
5, Er nu zhai (1955) ," Before he was known internationally as a martial arts superstar, Bruce Lee had appeared in a handful of Hong Kong films as a child star in the 1940s/50s. One of these early films was The More the Merrier (1955), a.k.a. We Owe it to Our Children from the Union Film Enterprise, a family melodrama written and directed by renowned filmmaker Chin Chien (My Intimate Partners). Featuring the 14-year-old Bruce Lee and future Cantonese Opera star Yuen Siu Fai, the B&W film revolves around accountant Ming (played by Cheung Wood Yau) and his wife (Tsi Lo Lin) who suffers a miscarriage in an car accident. The couple decides to adopt a baby girl, not knowing that she's the daughter given up by Ming's poor co-worker who struggles to feed a bunch of kids. Bruce Lee plays the slacker son of the landlord (Ko Lo Chuen).",known internationally martial arts superstar bruce lee appeared handful hong kong films child star one early films merrier owe children union film enterprise family melodrama written directed renowned filmmaker chin chien intimate partners featuring year old bruce lee future cantonese opera star yuen siu fai film revolves around accountant ming played cheung wood yau wife tsi lin suffers miscarriage car accident couple decides adopt baby girl knowing shes daughter given mings poor worker struggles feed bunch kids bruce lee plays slacker son landlord chuen, drama 
6, Riddle Room (2016) ," Emily Burns is being held captive in a room with no idea as to why or how she got there. Determined to escape and return to her daughter and husband, Emily discovers clues within the room that help explain what she's doing there. They even provide clues about who she is...but will they help her escape?",emily burns held captive room idea got determined escape return daughter husband emily discovers clues within room help explain shes even provide clues help escape, drama 
7, L'amica (1969) ," The beautiful but neglected wife of a brilliant architect from Milan, betrayed by her husband and mocked by her friend who manages the amorous adventures that she dreams of having, decides to take vengeance of the two, seducing her friend's husband and her young son.",beautiful neglected wife brilliant architect milan betrayed husband mocked friend manages amorous adventures dreams decides take vengeance two seducing friends husband young son, drama 
8, Ina Mina Dika (1989) ," Vasu Inamdar (Ina) suffers from a disorder where the pictures which he sees comes in his dreams and turn into reality. He discusses this with his wife Shalu and his best friend Digamber Minapure (Mina), Shalu then gets help from Dr A.Z Dcosta (Dika), but Dika turns out to be a fraud and he takes advantage of Shalu and puts her to sleep so that he can avail it in real, Mina comes to know that Dika was taken advantage of and decides to teach him a lesson by bringing the truth in front of everyone.",vasu inamdar ina suffers disorder sees comes dreams turn reality discusses wife shalu best friend digamber minapure mina shalu gets help dcosta dika dika turns fraud takes advantage shalu puts sleep avail real mina comes know dika taken advantage decides teach lesson bringing truth front everyone, drama 
9, Equinox Special: Britain's Tornados (2005) ," An insight into the tornados that hit Kensal Rise in 2006 and Birmingham in 2005. Surprisingly for a country with a reputation for moderate weather, Britain has more tornadoes per unit area than any other country in the world. British and American tornado experts assesses the damage and address the possibility that such extreme weather is on the increase on this side of the Atlantic.",insight tornados hit kensal rise birmingham surprisingly country reputation moderate weather britain tornadoes per unit area country world british american tornado experts assesses damage address possibility extreme weather increase side atlantic, drama 
10, Press (2011) ," Press is a story of young people overwhelmed by social discord and their surroundings. The film concisely depicts multiple factors underlying this situation. These are things that could affect any of us. People tend to clam up and stop communicating when depressed or upset. It is also not uncommon for people to note the expression on an individual's face and decide to leave them alone, even if the individual concerned does not actually consider their problem to be serious. The events in this film are no exaggeration. Rather, they are emblematic of a modern disease, in which a family and those surrounding it slip into a negative momentum. How to address the problem of communication breakdown is a question with great value and meaning for contemporary society.",press story young people overwhelmed social discord surroundings film concisely multiple factors underlying situation things could affect people tend clam stop communicating depressed upset also uncommon people note expression individuals face decide leave alone even individual concerned actually consider problem serious events film exaggeration rather emblematic modern disease family surrounding slip negative momentum address problem communication breakdown question great value meaning contemporary society, drama 
11, The Firm Man (1975) ," Not much is known about the firm for which businessman Gerald Baxter works, but it seems to have a negative effect on everyone involved. The hero begins to experience bizarre visions, while his wife commences an affair with a friend of the family.",much known firm businessman gerald baxter works seems negative effect everyone involved hero begins experience bizarre visions wife commences affair friend family, drama 
12, Out of Here (2013/I) ," After a year traveling the world, twentysomething Ciaran reluctantly returns to his hometown of Dublin, broke and stuck living with his parents. As he struggles to reconnect with the ex-girlfriend that he left behind and the friends and social scene that have moved on without him, Ciaran leads us through an atmospheric and authentic vision of contemporary Dublin and Irish youth.",year traveling world twentysomething ciaran reluctantly returns hometown dublin broke stuck living parents struggles reconnect girlfriend left behind friends social scene moved without ciaran leads atmospheric authentic vision contemporary dublin irish youth, drama 
13, Tip 2 (1990) ," Young-ja initially mocks the shy, introverted Ki-hoon who is infatuated with her. She in turn, is fascinated with Dong-hyeok, a worldly small time criminal. After promising to change his ways, Dong-hyeok betrays Young-ja and sells her into prostitution. Only Ki-hoon cares enough about her to attempt a rescue.",young initially mocks shy introverted hoon infatuated turn fascinated dong hyeok worldly small time criminal promising change ways dong hyeok betrays young sells prostitution hoon cares enough attempt rescue, drama 
14, Hero of the Day (2012) ," Mark Chambers, a down and out former professional football player plans to redeem himself unbeknown-st to Allen, a documentary filmmaker capturing a day in the hero's life. A thrilling and heartfelt (found footage) drama, the first of its kind.",mark chambers former professional football player plans redeem unbeknown allen documentary filmmaker capturing day heros life thrilling heartfelt found footage drama first kind, drama 
15, Das letzte Mal (2000) ," On the night a husband finally brings himself to tell his wife that he wants to leave her for another woman, she has prepared a luxurious dinner just for the two of them. While they sit at the table , eat and talk, he is about to find out that she already knows about everything - and she's not planning to let him get away with it...",night husband finally brings tell wife wants leave another woman prepared luxurious dinner two sit table eat talk find already knows everything shes planning let get away, drama 
16, The Man in Every Shot (2010) ," Ex-Formula 1 rookie of the year and Motor Racing Champion Tiago Monteiro is an Official SEAT Sport driver in the World Touring Car Championship (WTCC), an Official ORECA driver at the 24 hours of LeMans and 1000km of Algarve, the owner and team principal of GP2 Ocean Racing team, the owner of two brand new hip restaurants in his native Porto, the owner of a clothing and events company, not to mention a husband and father of two. This is the amazing story of the world's busiest athlete.",formula rookie year motor racing champion tiago monteiro official seat sport driver world touring car championship wtcc official oreca driver hours lemans algarve owner team principal ocean racing team owner two brand new hip restaurants native porto owner clothing events company mention husband father two amazing story worlds busiest athlete, drama 
17, The Kettles on Old MacDonald's Farm (1957) , Ma and Pa do their bit to hook lumberman Brad Johnson up with spoiled socialite Sally Flemming. Ma teaches Sally how to behave like a hick so she'll be compatible with Brad.,bit hook lumberman brad johnson spoiled socialite sally flemming teaches sally behave like hick shell compatible brad, drama 
18, The Patriot (1916) ," Bob Wiley, a veteran and a patriot, discovers gold on his New Mexico ranch. He mines it secretly, hoping to build up a fortune for his son Bobby. But his secret is found out, and corrupt government officials swindle him out of his land and kill his son in the process. Wiley renounces his country and joins with a the bandit Pancho Zapilla, who plans a raid on Wiley's hometown. Wiley sees the error of his decision, but is there still time to stop the destruction of the town?",bob wiley veteran patriot discovers gold new mexico ranch mines secretly hoping build fortune son bobby secret found corrupt government officials swindle land kill son process wiley renounces country joins bandit pancho zapilla plans raid wileys hometown wiley sees error decision still time stop destruction town, drama 
19," ""The Rogue Legends Series"" (2017) "," Eugen Sandow was a German strongman, circus performer and strength athlete considered by historians to be the ""father of modern bodybuilding."" Sandow's physique was known around the world as he pioneered the concept of training the body to achieve a specific look. More importantly, Sandow made popular the notion of exercising for good health. In the first installment of the Rogue Legends series, we travel to England, Belgium, France and Austin, TX to uncover Sandow's legacy.",eugen sandow german strongman circus performer strength athlete considered historians father modern bodybuilding sandows physique known around world pioneered concept training body achieve specific look importantly sandow made popular notion exercising good health first installment rogue legends series travel england belgium france austin uncover sandows legacy, drama 
20, A Case of Mistaken Identity? (2008) ," Joseph Jacoby introduces himself. He's a writer and filmmaker, about 60. His mother, mentally ill, spent much of her life in an asylum. After her death, using scraps of information, he sets out to discover the identity of his father. His own birth certificate, Social Security records, and other snippets put him on the trail of Ben, deceased in 2001, whose widow is alive. After months of trying, Joseph meets her. She can't believe her eyes: he looks just like her husband. He flies to California to meet a daughter of this man: she's open and helpful, providing memories that suggest connections. Joseph seeks DNA tests using saliva from envelops of Ben's letters. Has he found his father?",joseph jacoby introduces hes writer filmmaker mother mentally ill spent much life asylum death using scraps information sets discover identity father birth certificate social security records snippets put trail ben deceased whose widow alive months trying joseph meets cant believe eyes looks like husband flies california meet daughter man shes open helpful providing memories suggest connections joseph seeks dna tests using saliva envelops bens letters found father, drama 
21, Dinner for Three (2016) ," Trevor lives alone in the middle of nowhere, but tonight he prepares a meal for Dave and Janice who will be joining him for dinner; eventually leading to a reality and perspective fracturing confrontation that forces Dave to take executive measures to ensure Trevor stays alive.",trevor lives alone middle nowhere tonight prepares meal dave janice joining dinner eventually leading reality perspective fracturing confrontation forces dave take executive measures ensure trevor stays alive, drama 
22, Crack Baby (????) , When a privileged student filmmaker teams up with an acclaimed documentary filmmaker they both learn a valuable life lesson about the human condition.,privileged student filmmaker teams acclaimed documentary filmmaker learn valuable life lesson human condition, drama 
23, Paper Marilyn (1994) ," The life and work of a Venetian artist, entertainer and performer from his childhood in Venice, where he was fascinated by great female movie stars of the 50s, to his success in UK and Europe as a performing actor working mainly with paper.",life work venetian artist entertainer performer childhood venice fascinated great female movie stars success europe performing actor working mainly paper, drama 
24, A Tribute to Rick Nelson (1986) ," A rockumentary tribute to the late Rick Nelson. Musical performances from The Adventures of Ozzie and Harriet; concert appearances in Chicago, Baton Rouge (directed by Taylor Hackford) and at the Universal Amphitheater in Los Angeles (including a duet with Fats Domino) along with reminiscences of: Fats Domino, Carl Perkins, John Fogerty, Roy Orbison, Jerry Lee Lewis, Sam Phillips and more.",rockumentary tribute late rick nelson musical performances adventures ozzie harriet concert appearances chicago baton rouge directed taylor hackford universal amphitheater los angeles including duet fats domino along reminiscences fats domino carl perkins john fogerty roy orbison jerry lee lewis sam phillips, drama 
25, The Silent Rice Fields of Bakan (2016) ," Between April 1975 and January 1979, the Democratic Kampuchea regime killed approximately 1.7 million people. Since 2006, the trial of the former Pol Pot dignitaries has begun in Phnom Penh. As forms of compensation for the victims, it offers mainly commemorative practices inspired by the ""duty to remember"" and a mental health support. A narrative that promotes the idea of a passive and traumatized Cambodian Nation. Nevertheless, for more than twenty years, Cambodian society has moved on by its own means. They lie in a deeply resilient religious culture where the well-being of the living depends on the well-being of the dead and where circular time produces a type of memory that turns itself alternatively on and off. This film, based on a scientific study embedded in a poetic form produces evidence of Khmer Rouge genocide memory in Cambodia which is mainly invisible for the Western eye.",april january democratic kampuchea regime killed approximately million people since trial former pol pot dignitaries begun phnom penh forms compensation victims offers mainly commemorative practices inspired duty remember mental health support narrative promotes idea passive traumatized cambodian nation nevertheless twenty years cambodian society moved means lie deeply resilient religious culture well living depends well dead circular time produces type memory turns alternatively film based scientific study embedded poetic form produces evidence khmer rouge genocide memory cambodia mainly invisible western eye, drama 
26, Otetz Ivan i negovite detza (2010) ," Three decades ago he was a State Security officer. Then quited and took the vows. To the communists, this was treason. They sentenced him to five years in prison. There he pledged to God to build an orphanage. Now without any support from the government or any institution whatever, he takes care of 130 people, mostly children, single mothers and stranded people.",three decades ago state security officer quited took vows communists treason sentenced five years prison pledged god build orphanage without support government institution whatever takes care people mostly children single mothers stranded people, drama 
27, What's Left (2018) ," Two individuals find themselves alone after a major explosion that struck their city. Both searching for any signs of life, they stumble upon each other and make the best of what they have. Before they realize the extremity of what happens they have a bit of fun around the city.",two individuals find alone major explosion struck city searching signs life stumble upon make best realize extremity happens bit fun around city, drama 
28, The Tunnel (????/II) ," A 14 year-old skeptic falls 3 stories, in a coma, trapped between this world and the next, must choose between her secularly trained mind and her awakened spirit to guide her through the perils of the tunnel and back to the life she left behind.",year old skeptic falls stories coma trapped world next must choose secularly trained mind awakened spirit guide perils tunnel back life left behind, drama 
